event_id,event_title,event_place,event_name,start,event_lat,event_lon,depth_km,magnitude,strike,dip,rake,usgs_url,observed_pickle,event_json,synthetic_mseed,selected_station_count,overlapping_broadband_station_count
ci38038071,ci38038071,"4km N of La Verne, CA","M 4.4 - 4km N of La Verne, CA",2018-08-29T02:33:28.330000+00:00,34.1363333,-117.7746667,5.46,4.38,312.0,79.0,178.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci38038071,data/examples/la_basin_five_event_subset/observed/ci38038071_proc.pkl,data/examples/la_basin_five_event_subset/observed/ci38038071.json,data/examples/la_basin_five_event_subset/synthetics/cvmsi_unstructuredmesh_qp2qs_abs2.5_minvs500_minvp1700/ci38038071.mseed,30,52
ci38695658,ci38695658,"3km WSW of South El Monte, CA","M 4.5 - 3km WSW of South El Monte, CA",2020-09-19T06:38:46.930000+00:00,34.038,-118.08,16.87,4.54,96.0,48.0,108.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci38695658,data/examples/la_basin_five_event_subset/observed/ci38695658_proc.pkl,data/examples/la_basin_five_event_subset/observed/ci38695658.json,data/examples/la_basin_five_event_subset/synthetics/cvmsi_unstructuredmesh_qp2qs_abs2.5_minvs500_minvp1700/ci38695658.mseed,30,75
ci39812319,ci39812319,"2km E of Carson, CA","M 4.3 - 2km E of Carson, CA",2021-09-18T02:58:34.700000+00:00,33.8313333,-118.2636667,11.86,4.28,122.0,85.0,179.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci39812319,data/examples/la_basin_five_event_subset/observed/ci39812319_proc.pkl,data/examples/la_basin_five_event_subset/observed/ci39812319.json,data/examples/la_basin_five_event_subset/synthetics/cvmsi_unstructuredmesh_qp2qs_abs2.5_minvs500_minvp1700/ci39812319.mseed,30,77
ci39756418,ci39756418,"3 km SW of San Bernardino, CA","M 4.2 - 3 km SW of San Bernardino, CA",2024-01-25T03:43:19.970000+00:00,34.1116667,-117.3115,15.78,4.24,,,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39756418,data/examples/la_basin_five_event_subset/observed/ci39756418_proc.pkl,data/examples/la_basin_five_event_subset/observed/ci39756418.json,data/examples/la_basin_five_event_subset/synthetics/cvmsi_unstructuredmesh_qp2qs_abs2.5_minvs500_minvp1700/ci39756418.mseed,30,61
ci40699207,ci40699207,"4 km SSE of Highland Park, CA","M 4.4 - 4 km SSE of Highland Park, CA",2024-08-12T19:20:24.670000+00:00,34.0825,-118.1788333,10.98,4.39,288.0,45.0,125.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci40699207,data/examples/la_basin_five_event_subset/observed/ci40699207_proc.pkl,data/examples/la_basin_five_event_subset/observed/ci40699207.json,data/examples/la_basin_five_event_subset/synthetics/cvmsi_unstructuredmesh_qp2qs_abs2.5_minvs500_minvp1700/ci40699207.mseed,30,76
