event_id,station,selected_rank,network,component_trace_count,station_lat,station_lon
ci39812319,LCG,30,CI,6,34.0,-118.378
ci40699207,BHP,1,CI,3,33.991,-118.362
ci40699207,BLC,2,CI,3,34.244,-118.673
ci40699207,BRE,3,CI,3,33.808,-117.981
ci40699207,CAC,4,CI,3,34.137,-118.122
ci40699207,CCT,5,CI,3,33.896,-117.415
ci40699207,CHL,6,CI,3,33.911,-117.684
ci40699207,CHN,7,CI,3,33.999,-117.68
ci40699207,CJM,8,CI,3,34.271,-117.424
ci40699207,CRN,9,CI,3,33.876,-117.561
ci40699207,DEC,10,CI,6,34.254,-118.334
ci40699207,DJJ,11,CI,6,34.106,-118.455
ci40699207,DLA,12,CI,3,33.848,-118.096
ci40699207,ELS2,13,CI,3,33.649,-117.426
ci40699207,FMP,14,CI,6,33.713,-118.294
ci40699207,FON,15,CI,3,34.1,-117.439
ci40699207,FUL,16,CI,3,33.872,-117.923
ci40699207,GOU,17,CI,3,34.221,-118.188
ci40699207,GR2,18,CI,3,34.118,-118.3
ci40699207,GSA,19,CI,3,34.13677,-118.1283
ci40699207,GVR,20,CI,3,34.05,-118.12
ci40699207,HLL,21,CI,3,34.176,-118.36
ci40699207,IVY,22,CI,3,33.76,-117.477
ci40699207,JPLS,23,CI,3,34.205,-118.174
ci40699207,KIK,24,CI,3,34.15,-118.102
ci40699207,LAF,25,CI,3,33.869,-118.331
ci40699207,LBW1,26,CI,3,33.798,-118.088
ci40699207,LBW2,27,CI,3,33.798,-118.08837
ci40699207,LCG,28,CI,3,34.0,-118.378
ci40699207,LGB,29,CI,3,33.975,-118.149
ci40699207,LLS,30,CI,3,33.684,-117.943
